Group,Excellent,Good,Fair,Marginal,Poor
Atlantic Ocean,1,26,14,5,0
Great Lake,0,20,24,11,4
Hudson Bay,6,8,25,6,0
Mackenzie,3,8,8,1,0
Pacific Ocean ,2,9,9,3,1
